Experiment: SpeedGrowth_Control,Analysis: Analysis 1,User: Integral2,Plate: AZ_01,Plate Type: 384 Well,Plate Order: Row
Well ID,Well Type,Gt4 as % of cells,,,
I19,Sample,2.422569764,,,
I20,Sample,2.534259433,,,
I21,Sample,1.612903226,,,
I22,Sample,1.371074746,,,
I23,Sample,1.369863014,,,
I24,Sample,1.598345243,,,
J01,Sample,0.489541611,,,
J02,Sample,0.527983105,,,
J03,Sample,0.392986699,,,
J04,Sample,0.68060282,,,
J05,Sample,0.585092852,,,
J06,Sample,0.438321853,,,
J07,Sample,0.969131371,,,
J08,Sample,1.037633576,,,
J09,Sample,0.808799741,,,
J10,Sample,0.624089869,,,
J11,Sample,1.023706897,,,
J12,Sample,2.167019027,,,
J13,Sample,1.775636614,,,
J14,Sample,2.429706601,,,
J15,Sample,3.186467349,,,
J16,Sample,2.487562189,,,
J17,Sample,0.584577114,,,
J18,Sample,0.931445604,,,
J19,Sample,2.081300813,,,
J20,Sample,3.079373507,,,
J21,Sample,2.011539061,,,
J22,Positive,1.578947368,,,
J23,Sample,1.659836066,,,
J24,Positive,1.275651692,,,
K01,Sample,0.235663786,,,
K02,Sample,0.579268293,,,
K03,Sample,0.870686875,,,
K04,Sample,0.65295462,,,
K05,Sample,0.343479806,,,
K06,Sample,0.366684128,,,
K07,Sample,0.29769288,,,
K08,Sample,0.747198007,,,
K09,Sample,1.101268853,,,
K10,Sample,0.699067909,,,
K11,Sample,0.99233198,,,
K12,Sample,0.941465411,,,
K13,Sample,2.883865939,,,
K14,Sample,2.36632537,,,
K15,Sample,3.035413153,,,
K16,Sample,1.843698404,,,
K17,Sample,4.471168671,,,
K18,Sample,2.987070887,,,
K19,Sample,2.501713502,,,
K20,Sample,3.600500939,,,
K21,Sample,1.075268817,,,
K22,Sample,1.91702432,,,
K23,Sample,3.205918619,,,
K24,Sample,1.344269765,,,
L01,Sample,0.039769338,,,
L02,Sample,0.442566888,,,
L03,Sample,0.611270296,,,
L04,Sample,0.532741398,,,
L05,Sample,0.10400416,,,
L06,Sample,0.107066381,,,
L07,Sample,0.41421061,,,
L08,Sample,0.78639745,,,
L09,Sample,0.078064012,,,
